,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,Consumer Price Index for All Urban Consumers: All Items Less Food and Energy in U.S. City Average,Consumer Price Index for All Urban Consumers: Used Cars and Trucks in U.S. City Average,Consumer Price Index in the United States (DISCONTINUED),Consumer Price Index in Japan (DISCONTINUED),Consumer Price Index in Canada (DISCONTINUED),Harmonized Index of Consumer Prices: All Items for Euro area (19 countries),Harmonized Index of Consumer Prices: All Items for United States,Harmonized Index of Consumer Prices: Energy for Euro area (19 countries),Research Consumer Price Index: All Items,Research Consumer Price Index: Housing,Research Consumer Price Index: Medical Care
1928-01-01,,,,,,,,,,,,
1928-02-01,,,,,,,,,,,,
1928-03-01,,,,,,,,,,,,
1928-04-01,,,,,,,,,,,,
1928-05-01,,,,,,,,,,,,
1928-06-01,,,,,,,,,,,,
1928-07-01,,,,,,,,,,,,
1928-08-01,,,,,,,,,,,,
1928-09-01,,,,,,,,,,,,
1928-10-01,,,,,,,,,,,,
1928-11-01,,,,,,,,,,,,
1928-12-01,,,,,,,,,,,,
1929-01-01,,,,,,,,,,,,
1929-02-01,,,,,,,,,,,,
1929-03-01,,,,,,,,,,,,
1929-04-01,,,,,,,,,,,,
1929-05-01,,,,,,,,,,,,
1929-06-01,,,,,,,,,,,,
1929-07-01,,,,,,,,,,,,
1929-08-01,,,,,,,,,,,,
1929-09-01,,,,,,,,,,,,
1929-10-01,,,,,,,,,,,,
1929-11-01,,,,,,,,,,,,
1929-12-01,,,,,,,,,,,,
1930-01-01,,,,,,,,,,,,
1930-02-01,,,,,,,,,,,,
1930-03-01,,,,,,,,,,,,
1930-04-01,,,,,,,,,,,,
1930-05-01,,,,,,,,,,,,
1930-06-01,,,,,,,,,,,,
1930-07-01,,,,,,,,,,,,
1930-08-01,,,,,,,,,,,,
1930-09-01,,,,,,,,,,,,
1930-10-01,,,,,,,,,,,,
1930-11-01,,,,,,,,,,,,
1930-12-01,,,,,,,,,,,,
1931-01-01,,,,,,,,,,,,
1931-02-01,,,,,,,,,,,,
1931-03-01,,,,,,,,,,,,
1931-04-01,,,,,,,,,,,,
1931-05-01,,,,,,,,,,,,
1931-06-01,,,,,,,,,,,,
1931-07-01,,,,,,,,,,,,
1931-08-01,,,,,,,,,,,,
1931-09-01,,,,,,,,,,,,
1931-10-01,,,,,,,,,,,,
1931-11-01,,,,,,,,,,,,
1931-12-01,,,,,,,,,,,,
1932-01-01,,,,,,,,,,,,
1932-02-01,,,,,,,,,,,,
1932-03-01,,,,,,,,,,,,
1932-04-01,,,,,,,,,,,,
1932-05-01,,,,,,,,,,,,
1932-06-01,,,,,,,,,,,,
1932-07-01,,,,,,,,,,,,
1932-08-01,,,,,,,,,,,,
1932-09-01,,,,,,,,,,,,
1932-10-01,,,,,,,,,,,,
1932-11-01,,,,,,,,,,,,
1932-12-01,,,,,,,,,,,,
1933-01-01,,,,,,,,,,,,
1933-02-01,,,,,,,,,,,,
1933-03-01,,,,,,,,,,,,
1933-04-01,,,,,,,,,,,,
1933-05-01,,,,,,,,,,,,
1933-06-01,,,,,,,,,,,,
1933-07-01,,,,,,,,,,,,
1933-08-01,,,,,,,,,,,,
1933-09-01,,,,,,,,,,,,
1933-10-01,,,,,,,,,,,,
1933-11-01,,,,,,,,,,,,
1933-12-01,,,,,,,,,,,,
1934-01-01,,,,,,,,,,,,
1934-02-01,,,,,,,,,,,,
1934-03-01,,,,,,,,,,,,
1934-04-01,,,,,,,,,,,,
1934-05-01,,,,,,,,,,,,
1934-06-01,,,,,,,,,,,,
1934-07-01,,,,,,,,,,,,
1934-08-01,,,,,,,,,,,,
1934-09-01,,,,,,,,,,,,
1934-10-01,,,,,,,,,,,,
1934-11-01,,,,,,,,,,,,
1934-12-01,,,,,,,,,,,,
1935-01-01,,,,,,,,,,,,
1935-02-01,,,,,,,,,,,,
1935-03-01,,,,,,,,,,,,
1935-04-01,,,,,,,,,,,,
1935-05-01,,,,,,,,,,,,
1935-06-01,,,,,,,,,,,,
1935-07-01,,,,,,,,,,,,
1935-08-01,,,,,,,,,,,,
1935-09-01,,,,,,,,,,,,
1935-10-01,,,,,,,,,,,,
1935-11-01,,,,,,,,,,,,
1935-12-01,,,,,,,,,,,,
1936-01-01,,,,,,,,,,,,
1936-02-01,,,,,,,,,,,,
1936-03-01,,,,,,,,,,,,
1936-04-01,,,,,,,,,,,,
1936-05-01,,,,,,,,,,,,
1936-06-01,,,,,,,,,,,,
1936-07-01,,,,,,,,,,,,
1936-08-01,,,,,,,,,,,,
1936-09-01,,,,,,,,,,,,
1936-10-01,,,,,,,,,,,,
1936-11-01,,,,,,,,,,,,
1936-12-01,,,,,,,,,,,,
1937-01-01,,,,,,,,,,,,
1937-02-01,,,,,,,,,,,,
1937-03-01,,,,,,,,,,,,
1937-04-01,,,,,,,,,,,,
1937-05-01,,,,,,,,,,,,
1937-06-01,,,,,,,,,,,,
1937-07-01,,,,,,,,,,,,
1937-08-01,,,,,,,,,,,,
1937-09-01,,,,,,,,,,,,
1937-10-01,,,,,,,,,,,,
1937-11-01,,,,,,,,,,,,
1937-12-01,,,,,,,,,,,,
1938-01-01,,,,,,,,,,,,
1938-02-01,,,,,,,,,,,,
1938-03-01,,,,,,,,,,,,
1938-04-01,,,,,,,,,,,,
1938-05-01,,,,,,,,,,,,
1938-06-01,,,,,,,,,,,,
1938-07-01,,,,,,,,,,,,
1938-08-01,,,,,,,,,,,,
1938-09-01,,,,,,,,,,,,
1938-10-01,,,,,,,,,,,,
1938-11-01,,,,,,,,,,,,
1938-12-01,,,,,,,,,,,,
1939-01-01,,,,,,,,,,,,
1939-02-01,,,,,,,,,,,,
1939-03-01,,,,,,,,,,,,
1939-04-01,,,,,,,,,,,,
1939-05-01,,,,,,,,,,,,
1939-06-01,,,,,,,,,,,,
1939-07-01,,,,,,,,,,,,
1939-08-01,,,,,,,,,,,,
1939-09-01,,,,,,,,,,,,
1939-10-01,,,,,,,,,,,,
1939-11-01,,,,,,,,,,,,
1939-12-01,,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,
1940-02-01,,,,,,,,,,,,
1940-03-01,,,,,,,,,,,,
1940-04-01,,,,,,,,,,,,
1940-05-01,,,,,,,,,,,,
1940-06-01,,,,,,,,,,,,
